region,month,accidents including damages,accidents including injuries,accidents including mortalities,total number of accidents,injuries,mortalities,intact,total number of people involved in RTA
Al-Baha,Moharram,314,55,4,373,104,5,712,821
Al-Baha,Safar,462,65,11,538,136,15,1021,1172
Al-Baha,Rabeea Awal,360,48,11,419,107,15,759,881
Al-Baha,Rabeea Thany,304,32,8,344,74,9,630,713
Al-Baha,Jamad Awal,375,50,15,440,118,17,870,1005
Al-Baha,Jamad Thany,313,41,13,367,91,18,754,863
Al-Baha,Ragab,303,72,16,391,119,15,765,899
Al-Baha, Shaaban,258,45,15,318,103,16,564,683
Al-Baha, Ramadan,97,32,9,138,70,15,238,323
Al-Baha, Shawwal,74,49,11,134,96,20,180,296
Al-Baha,Zy Aqeaada,17,62,19,98,123,25,93,241
Al-Baha,Zy Alhegga,13,34,11,58,86,15,48,149
Al-Jouf,Moharram,466,20,18,504,40,21,919,980
Al-Jouf,Safar,461,24,13,498,64,13,910,987
Al-Jouf,Rabeea Awal,458,17,12,487,30,12,951,993
Al-Jouf,Rabeea Thany,458,16,14,488,37,18,918,973
Al-Jouf,Jamad Awal,496,21,8,525,43,11,963,1017
Al-Jouf,Jamad Thany,446,27,8,481,35,10,874,919
Al-Jouf,Ragab,575,42,15,632,53,15,1150,1218
Al-Jouf, Shaaban,598,30,14,642,57,15,1181,1253
Al-Jouf, Ramadan,485,42,16,543,69,16,974,1059
Al-Jouf, Shawwal,493,44,9,546,48,11,816,875
Al-Jouf,Zy Aqeaada,448,40,12,500,46,16,869,931
Al-Jouf,Zy Alhegga,532,25,14,571,52,18,1066,1136
Al-Qurayyat,Moharram,311,24,5,340,29,5,643,677
Al-Qurayyat,Safar,293,30,7,330,54,13,614,681
Al-Qurayyat,Rabeea Awal,347,12,4,363,25,4,704,733
Al-Qurayyat,Rabeea Thany,286,16,5,307,16,5,601,622
Al-Qurayyat,Jamad Awal,254,20,7,281,21,7,543,571
Al-Qurayyat,Jamad Thany,288,13,2,303,20,3,583,606
Al-Qurayyat,Ragab,285,27,0,312,43,0,597,640
Al-Qurayyat, Shaaban,283,17,5,305,40,8,586,634
Al-Qurayyat, Ramadan,289,15,6,310,33,8,590,631
Al-Qurayyat, Shawwal,303,14,1,318,21,1,608,630
Al-Qurayyat,Zy Aqeaada,295,9,4,308,13,5,597,615
Al-Qurayyat,Zy Alhegga,292,18,8,318,31,10,602,643
Ar Riyad,Moharram,13007,106,39,13152,310,97,19125,19532
Ar Riyad,Safar,12998,212,76,13286,338,102,18638,19078
Ar Riyad,Rabeea Awal,11877,271,71,12219,333,103,18389,18825
Ar Riyad,Rabeea Thany,12004,258,67,12329,339,126,18506,18971
Ar Riyad,Jamad Awal,12988,198,64,13250,323,93,17577,17993
Ar Riyad,Jamad Thany,12441,217,96,12754,343,114,32168,32625
Ar Riyad,Ragab,12000,248,103,12351,377,138,23230,23745
Ar Riyad, Shaaban,12456,235,79,12770,382,101,24620,25103
Ar Riyad, Ramadan,10475,266,123,10864,469,162,18879,19510
Ar Riyad, Shawwal,9204,177,96,9477,349,128,17842,18319
Ar Riyad,Zy Aqeaada,10022,171,98,10291,276,126,22223,22625
Ar Riyad,Zy Alhegga,8688,203,102,8993,368,140,15821,16329
Aseer,Moharram,2647,71,59,2777,236,72,4760,5068
Aseer,Safar,2902,65,46,3013,191,61,5379,5631
